Date,High,Low,Open,Close,Volume,Adj Close
2009-12-31,4.737500190734863,4.664999961853027,4.677499771118164,4.670000076293945,70034000.0,4.289909839630127
2010-01-04,4.65500020980835,4.527500152587891,4.627500057220459,4.622499942779541,80020400.0,4.246275901794434
2010-01-05,4.739999771118164,4.605000019073486,4.605000019073486,4.690000057220459,72864800.0,4.308282375335693
2010-01-06,4.730000019073486,4.642499923706055,4.6875,4.71999979019165,64916800.0,4.335842609405518
2010-01-07,4.715000152587891,4.59250020980835,4.695000171661377,4.627500057220459,54779200.0,4.250871181488037
2010-01-08,4.670000076293945,4.5625,4.590000152587891,4.637499809265137,47816800.0,4.260055065155029
2010-01-11,4.682499885559082,4.507500171661377,4.662499904632568,4.572500228881836,55661200.0,4.200344562530518
2010-01-12,4.522500038146973,4.322500228881836,4.505000114440918,4.417500019073486,62743200.0,4.057961940765381
2010-01-13,4.492499828338623,4.275000095367432,4.447500228881836,4.477499961853027,50886800.0,4.113077640533447
2010-01-14,4.454999923706055,4.332499980926514,4.422500133514404,4.40749979019165,60852400.0,4.048774242401123
2010-01-15,4.412499904632568,4.21999979019165,4.375,4.277500152587891,81819200.0,3.929356336593628
2010-01-19,4.385000228881836,4.232500076293945,4.244999885559082,4.357500076293945,54532800.0,4.0028462409973145
2010-01-20,4.357500076293945,4.244999885559082,4.302499771118164,4.340000152587891,71972800.0,3.9867684841156006
2010-01-21,4.414999961853027,4.222499847412109,4.337500095367432,4.262499809265137,60863200.0,3.9155774116516113
2010-01-22,4.289999961853027,4.090000152587891,4.212500095367432,4.114999771118164,106791600.0,3.7800815105438232
2010-01-25,4.264999866485596,4.152500152587891,4.182499885559082,4.184999942779541,64367600.0,3.8443849086761475
2010-01-26,4.192500114440918,4.050000190734863,4.164999961853027,4.052499771118164,71463600.0,3.722668409347534
2010-01-27,4.177499771118164,4.005000114440918,4.050000190734863,4.162499904632568,81250400.0,3.8237152099609375
2010-01-28,4.210000038146973,3.9649999141693115,4.195000171661377,4.022500038146973,68776400.0,3.6951100826263428
2010-01-29,4.112500190734863,3.7874999046325684,4.067500114440918,3.8475000858306885,77470000.0,3.5343542098999023
2010-02-01,4.150000095367432,3.8299999237060547,3.862499952316284,4.142499923706055,94983200.0,3.8053433895111084
2010-02-02,4.237500190734863,4.114999771118164,4.127500057220459,4.184999942779541,84981200.0,3.8443849086761475
2010-02-03,4.237500190734863,4.127500057220459,4.147500038146973,4.21999979019165,56229600.0,3.8765366077423096
2010-02-04,4.182499885559082,3.930000066757202,4.182499885559082,3.9749999046325684,78348000.0,3.6514759063720703
2010-02-05,4.065000057220459,3.9000000953674316,3.9700000286102295,4.054999828338623,60485600.0,3.7249653339385986
2010-02-08,4.144999980926514,3.9674999713897705,4.042500019073486,4.047500133514404,44516000.0,3.7180755138397217
2010-02-09,4.132500171661377,3.9749999046325684,4.112500190734863,4.014999866485596,93014400.0,3.6882212162017822
2010-02-10,4.130000114440918,4.012499809265137,4.039999961853027,4.09250020980835,53582800.0,3.759413480758667
2010-02-11,4.324999809265137,4.127500057220459,4.15749979019165,4.28000020980835,69598000.0,3.931652307510376
2010-02-12,4.425000190734863,4.202499866485596,4.25,4.337500095367432,78021200.0,3.984471559524536
2010-02-16,4.434999942779541,4.34250020980835,4.394999980926514,4.417500019073486,45702400.0,4.057961940765381
2010-02-17,4.474999904632568,4.332499980926514,4.472499847412109,4.460000038146973,87656000.0,4.09700345993042
2010-02-18,4.237500190734863,4.052499771118164,4.215000152587891,4.167500019073486,151550800.0,3.8283088207244873
2010-02-19,4.195000171661377,4.125,4.150000095367432,4.144999980926514,51054800.0,3.8076398372650146
2010-02-22,4.224999904632568,4.125,4.162499904632568,4.152500152587891,45808400.0,3.8145298957824707
2010-02-23,4.182499885559082,4.010000228881836,4.164999961853027,4.052499771118164,48976400.0,3.722668409347534
